Customer_ID,Age,Tenure_Months,Monthly_Spend,Support_Tickets,Email_Opens,Website_Visits,Engaged
1001,56,33,24.93,4,20,25,0
1002,46,51,434.94,0,21,9,0
1003,32,43,183.53,1,27,2,0
1004,60,37,204.61,7,8,15,0
1005,25,12,61.39,2,25,3,0
1006,38,3,371.33,9,8,49,1
1007,56,1,99.32,2,14,36,0
1008,36,33,286.34,7,9,4,0
1009,40,40,421.95,7,23,14,0
1010,28,10,53.71,1,25,41,0
1011,28,43,272.31,7,24,41,1
1012,41,44,124.28,0,28,25,1
1013,53,29,178.03,5,9,10,0
1014,57,13,242.25,7,7,21,1
1015,41,12,184.0,2,23,36,1
1016,20,31,327.92,7,15,12,0
1017,39,46,245.0,0,16,27,1
1018,19,2,296.26,8,25,40,1
1019,41,51,371.04,8,26,2,0
1020,61,50,283.29,4,4,13,0
1021,47,35,297.4,9,3,32,0
1022,55,23,286.58,3,17,31,1
1023,19,17,195.6,5,23,16,1
1024,38,26,175.35,6,18,32,1
1025,50,8,450.83,4,3,32,0
1026,29,29,307.7,9,27,34,1
1027,39,26,129.73,8,6,11,0
1028,61,10,254.14,2,9,10,0
1029,42,26,171.87,6,24,15,0
1030,44,34,467.51,9,17,17,1
1031,59,51,13.69,9,18,40,0
1032,45,41,120.41,4,3,18,0
1033,33,7,189.02,6,9,9,0
1034,32,4,249.03,1,0,25,0
1035,64,58,426.9,3,22,40,1
1036,61,53,53.06,1,17,14,0
1037,20,50,404.87,6,4,25,0
1038,54,45,37.27,1,14,22,0
1039,24,11,422.73,0,16,30,1
1040,38,29,35.3,8,2,20,0
1041,26,56,18.94,0,11,21,0
1042,56,36,351.51,7,1,44,0
1043,35,25,498.66,1,0,32,0
1044,21,21,449.34,7,22,46,1
1045,42,57,292.24,2,20,49,1
1046,31,36,459.52,5,16,21,1
1047,26,10,12.6,2,21,35,0
1048,43,37,487.78,6,15,32,1
1049,19,9,250.47,9,4,30,0
1050,37,24,364.22,8,14,39,1
1051,45,35,412.22,1,2,49,0
1052,64,49,362.04,4,27,12,0
